Date,City,PM2.5,PM10,NO,NO2,SO2,CO,O3,AQI,AQI_Bucket,Temp
2024-01-01,London,79,29.9,101.3,90,7.6,1.22,129.2,127,Unhealthy,5.588832528251913
2024-01-02,London,199.2,348.2,101.8,131,10.8,2.94,45.4,99,Moderate,6.073040029589547
2024-01-03,London,108.2,369.3,65.9,43.8,21.2,0.81,142.5,256,Very Unhealthy,3.135130245615271
2024-01-04,London,221.9,72.3,25,25.3,99.4,2.09,35.9,304,Hazardous,4.4138143066024735
2024-01-05,London,235.7,201.5,73.1,117.5,79.1,3.21,170.7,121,Unhealthy,12.027127065197606
2024-01-06,London,20.9,195.9,18.6,165.2,54.6,1.25,148.9,259,Very Unhealthy,7.906013318138939
2024-01-07,London,136.7,286.1,114.3,154.3,9.2,3.47,11.2,124,Unhealthy,8.983156422645
2024-01-08,London,224.2,44.9,58.1,118.6,30.7,2.63,131.3,137,Unhealthy,4.785938054092603
2024-01-09,London,142.3,298.6,87.4,197.9,15.9,4.31,127.3,240,Very Unhealthy,5.927822760052411
2024-01-10,London,119.6,170.5,60.5,199.1,73.7,1.81,45.6,132,Unhealthy,4.010175757528678
2024-01-11,London,239.6,195.4,34.5,71.1,43.5,3.95,73.8,281,Very Unhealthy,7.6071416615111165
2024-01-12,London,118.8,295.6,82.6,42.7,89.2,4.73,80.7,89,Moderate,6.950547045157068
2024-01-13,London,172.6,198.6,60.9,80.7,41.2,3.14,77.1,117,Unhealthy,11.842854021918528
2024-01-14,London,147.4,399.8,130,112.4,45.6,4.89,143,334,Hazardous,6.7504009980719
2024-01-15,London,34.7,341.5,18.6,164.1,8.8,3.9,18.6,71,Moderate,7.57494170150168
2024-01-16,London,226,334.7,14.2,142.8,47.7,4.9,19.2,289,Very Unhealthy,5.837209996989295
2024-01-17,London,69.1,309.4,29.2,181,71,1.24,92.8,103,Unhealthy,8.345508150027257
2024-01-18,London,20.1,62.6,140.7,147.4,81.8,4.05,97,102,Unhealthy,6.481510344317026
2024-01-19,London,88.7,338.8,69.2,58.5,19.6,1.07,47.2,58,Moderate,6.135797973706397
2024-01-20,London,239.1,329.3,102.8,68.6,57.5,1.66,113.9,176,Unhealthy,8.166839498719554
2024-01-21,London,223.5,396.7,10.2,151.9,46.5,1,118.6,243,Very Unhealthy,6.73015600048813
2024-01-22,London,176.3,38.4,72.9,49,74.2,3.86,123.1,103,Unhealthy,6.972267069357969
2024-01-23,London,163.7,303.8,11.6,64.3,45.1,2.83,32.6,302,Hazardous,9.876162231986768
2024-01-24,London,248.6,179.3,94.9,180.8,47.7,4.04,34.2,240,Very Unhealthy,11.192639826271055
2024-01-25,London,167.4,241.2,130.4,41.9,76.9,3.86,180,387,Hazardous,10.909903029203798
2024-01-26,London,180,335.7,33.4,37.3,28.4,4.42,53.2,381,Hazardous,9.317409420917027
2024-01-27,London,140.6,25.1,45.9,149.4,50,4.18,46.9,115,Unhealthy,9.664374496711874
2024-01-28,London,152.6,24.4,130.5,113.1,26.7,4.12,124.1,220,Very Unhealthy,8.120411362620239
